OBJECTID,VACCINATION_DATE,Ethnicity,FirstDoseDaily,FirstDoseCumulative,SecondDoseDaily,SecondDoseCumulative
215,1/21/2021 15:00:00,Unknown Ethnicity,803,34383,128,5381
216,1/21/2021 15:00:00,Hispanic or Latino,794,12682,118,1378
217,1/21/2021 15:00:00,Not Hispanic or Latino,21196,268407,2907,33814
218,1/22/2021 15:00:00,Hispanic or Latino,993,13675,84,1462
219,1/22/2021 15:00:00,Unknown Ethnicity,1601,35984,749,6130
220,1/22/2021 15:00:00,Not Hispanic or Latino,25595,294002,2359,36173
221,1/23/2021 15:00:00,Unknown Ethnicity,1009,36993,437,6567
222,1/23/2021 15:00:00,Hispanic or Latino,260,13935,39,1501
223,1/23/2021 15:00:00,Not Hispanic or Latino,8158,302160,1003,37176
224,1/24/2021 15:00:00,Not Hispanic or Latino,2564,304724,920,38096
225,1/24/2021 15:00:00,Hispanic or Latino,60,13995,18,1519
226,1/24/2021 15:00:00,Unknown Ethnicity,611,37604,618,7185
227,1/25/2021 15:00:00,Not Hispanic or Latino,14331,319055,6475,44571
228,1/25/2021 15:00:00,Hispanic or Latino,359,14354,289,1808
229,1/25/2021 15:00:00,Unknown Ethnicity,1446,39050,1311,8496
230,1/26/2021 15:00:00,Not Hispanic or Latino,15045,334100,7124,51695
231,1/26/2021 15:00:00,Unknown Ethnicity,1699,40749,848,9344
232,1/26/2021 15:00:00,Hispanic or Latino,500,14854,245,2053
233,1/27/2021 15:00:00,Unknown Ethnicity,1380,42129,1372,10716
234,1/27/2021 15:00:00,Hispanic or Latino,761,15615,452,2505
235,1/27/2021 15:00:00,Not Hispanic or Latino,21791,355891,10046,61741
236,1/28/2021 15:00:00,Not Hispanic or Latino,20001,375892,7664,69405
237,1/28/2021 15:00:00,Hispanic or Latino,823,16438,405,2910
238,1/28/2021 15:00:00,Unknown Ethnicity,1289,43418,749,11465
239,1/29/2021 15:00:00,Hispanic or Latino,688,17126,305,3215
240,1/29/2021 15:00:00,Unknown Ethnicity,1140,44558,363,11828
241,1/29/2021 15:00:00,Not Hispanic or Latino,21789,397681,6015,75420
242,1/30/2021 15:00:00,Hispanic or Latino,514,17640,113,3328
243,1/30/2021 15:00:00,Unknown Ethnicity,873,45431,81,11909
244,1/30/2021 15:00:00,Not Hispanic or Latino,15911,413592,2049,77469
245,1/31/2021 15:00:00,Unknown Ethnicity,871,46302,309,12218
246,1/31/2021 15:00:00,Hispanic or Latino,121,17761,17,3345
