OBJECTID,VACCINATION_DATE,FirstDailyDose,FirstDoseCumulative,SecondDailyDose,SecondDoseCumulative,SingleDailyDose,SingleDoseCumulative,AtleastOneVaccine,AtleastOneVaccineCumulative,CompletedVax,CompletedVaxCumulative,FirstSecondSingleVaccination_12,FirstSecondSingleVaccination_13
142,5/4/2021 15:00:00,14206,2914362,39445.000000000000000,2133030,1730.000000000000000,203854.000000000000000,15936,3118216,41175,2336884,55381,5251158
143,5/5/2021 15:00:00,19296,2933658,37706.000000000000000,2170736,1913.000000000000000,205767.000000000000000,21209,3139425,39619,2376503,58915,5310073
144,5/6/2021 15:00:00,16975,2950633,40509.000000000000000,2211245,1710.000000000000000,207477.000000000000000,18685,3158110,42219,2418722,59194,5369267
145,5/7/2021 15:00:00,17401,2968034,35964.000000000000000,2247209,1952.000000000000000,209429.000000000000000,19353,3177463,37916,2456638,55317,5424584
146,5/8/2021 15:00:00,10774,2978808,31114.000000000000000,2278323,1291.000000000000000,210720.000000000000000,12065,3189528,32405,2489043,43179,5467763
147,5/9/2021 15:00:00,5047,2983855,11854.000000000000000,2290177,695.000000000000000,211415.000000000000000,5742,3195270,12549,2501592,17596,5485359
148,5/10/2021 15:00:00,8936,2992791,31088.000000000000000,2321265,1358.000000000000000,212773.000000000000000,10294,3205564,32446,2534038,41382,5526741
149,5/11/2021 15:00:00,12187,3004978,30255.000000000000000,2351520,1443.000000000000000,214216.000000000000000,13630,3219194,31698,2565736,43885,5570626
150,5/12/2021 15:00:00,13915,3018893,38513.000000000000000,2390033,1909.000000000000000,216125.000000000000000,15824,3235018,40422,2606158,54337,5624963
151,5/13/2021 15:00:00,21806,3040699,33364.000000000000000,2423397,1353.000000000000000,217478.000000000000000,23159,3258177,34717,2640875,56523,5681486
152,5/14/2021 15:00:00,24315,3065014,29933.000000000000000,2453330,1770.000000000000000,219248.000000000000000,26085,3284262,31703,2672578,56018,5737504
153,5/15/2021 15:00:00,21840,3086854,24976.000000000000000,2478306,1531.000000000000000,220779.000000000000000,23371,3307633,26507,2699085,48347,5785851
154,5/16/2021 15:00:00,9051,3095905,17489.000000000000000,2495795,1113.000000000000000,221892.000000000000000,10164,3317797,18602,2717687,27653,5813504
155,5/17/2021 15:00:00,16834,3112739,28347.000000000000000,2524142,1947.000000000000000,223839.000000000000000,18781,3336578,30294,2747981,47128,5860632
156,5/18/2021 15:00:00,21247,3133986,30665.000000000000000,2554807,1943.000000000000000,225782.000000000000000,23190,3359768,32608,2780589,53855,5914487
157,5/19/2021 15:00:00,27567,3161553,32335.000000000000000,2587142,1622.000000000000000,227404.000000000000000,29189,3388957,33957,2814546,61524,5976011
158,5/20/2021 15:00:00,20776,3182329,33230.000000000000000,2620372,1962.000000000000000,229366.000000000000000,22738,3411695,35192,2849738,55968,6031979
159,5/21/2021 15:00:00,19146,3201475,30184.000000000000000,2650556,1611.000000000000000,230977.000000000000000,20757,3432452,31795,2881533,50941,6082920
160,5/22/2021 15:00:00,16879,3218354,20574.000000000000000,2671130,1270.000000000000000,232247.000000000000000,18149,3450601,21844,2903377,38723,6121643
161,5/23/2021 15:00:00,8743,3227097,11391.000000000000000,2682521,959.000000000000000,233206.000000000000000,9702,3460303,12350,2915727,21093,6142736
162,5/24/2021 15:00:00,13454,3240551,17837.000000000000000,2700358,1479.000000000000000,234685.000000000000000,14933,3475236,19316,2935043,32770,6175506
163,5/25/2021 15:00:00,12886,3253437,18757.000000000000000,2719115,1328.000000000000000,236013.000000000000000,14214,3489450,20085,2955128,32971,6208477
164,5/26/2021 15:00:00,18254,3271691,19411.000000000000000,2738526,1510.000000000000000,237523.000000000000000,19764,3509214,20921,2976049,39175,6247652
165,5/27/2021 15:00:00,11669,3283360,18606.000000000000000,2757132,1131.000000000000000,238654.000000000000000,12800,3522014,19737,2995786,31406,6279058
166,5/28/2021 15:00:00,12467,3295827,19721.000000000000000,2776853,1401.000000000000000,240055.000000000000000,13868,3535882,21122,3016908,33589,6312647
167,5/29/2021 15:00:00,9535,3305362,11594.000000000000000,2788447,936.000000000000000,240991.000000000000000,10471,3546353,12530,3029438,22065,6334712
168,5/30/2021 15:00:00,4891,3310253,6459.000000000000000,2794906,596.000000000000000,241587.000000000000000,5487,3551840,7055,3036493,11946,6346658
169,5/31/2021 15:00:00,1768,3312021,3678.000000000000000,2798584,305.000000000000000,241892.000000000000000,2073,3553913,3983,3040476,5751,6352409
170,6/1/2021 15:00:00,9341,3321362,16525.000000000000000,2815109,1140.000000000000000,243032.000000000000000,10481,3564394,17665,3058141,27006,6379415
171,6/2/2021 15:00:00,10132,3331494,16780.000000000000000,2831889,958.000000000000000,243990.000000000000000,11090,3575484,17738,3075879,27870,6407285
172,6/3/2021 15:00:00,7888,3339382,21145.000000000000000,2853034,1083.000000000000000,245073.000000000000000,8971,3584455,22228,3098107,30116,6437401
173,6/4/2021 15:00:00,8214,3347596,22140.000000000000000,2875174,1124.000000000000000,246197.000000000000000,9338,3593793,23264,3121371,31478,6468879
174,6/5/2021 15:00:00,6980,3354576,19355.000000000000000,2894529,718.000000000000000,246915.000000000000000,7698,3601491,20073,3141444,27053,6495932
175,6/6/2021 15:00:00,3469,3358045,7167.000000000000000,2901696,418.000000000000000,247333.000000000000000,3887,3605378,7585,3149029,11054,6506986
176,6/7/2021 15:00:00,6818,3364863,15693.000000000000000,2917389,726.000000000000000,248059.000000000000000,7544,3612922,16419,3165448,23237,6530223
177,6/8/2021 15:00:00,6676,3371539,19677.000000000000000,2937066,816.000000000000000,248875.000000000000000,7492,3620414,20493,3185941,27169,6557392
178,6/9/2021 15:00:00,8195,3379734,23824.000000000000000,2960890,968.000000000000000,249843.000000000000000,9163,3629577,24792,3210733,32987,6590379
179,6/10/2021 15:00:00,7161,3386895,19051.000000000000000,2979941,897.000000000000000,250740.000000000000000,8058,3637635,19948,3230681,27109,6617488
180,6/11/2021 15:00:00,7434,3394329,17651.000000000000000,2997592,1125.000000000000000,251865.000000000000000,8559,3646194,18776,3249457,26210,6643698
