OBJECTID,VACCINATION_DATE,AgeRange,FirstDailyDose,FirstDailyDoseCumulative,SecondDailyDose,SecondDailyDoseCumulative,SingleDailyDose,SingleDailyDoseCumulative,CombinedTotalDoses,CombinedTotalDosesCumulative,FullyVaccinated,FullyVaccinatedCumulative
252,4/24/2020 15:00:00,age30to39,1,39,,4,,0,,43,,4
253,4/25/2020 15:00:00,age50to59,1,45,,3,,0,,48,,3
254,4/26/2020 15:00:00,age30to39,,39,1,5,,0,,44,,5
255,4/26/2020 15:00:00,age50to59,1,46,,3,,0,,49,,3
256,4/30/2020 15:00:00,age30to39,1,40,,5,,0,,45,,5
257,4/30/2020 15:00:00,age40to49,1,39,,4,,0,,43,,4
258,4/30/2020 15:00:00,age50to59,1,47,,3,,0,,50,,3
259,5/1/2020 15:00:00,age20to29,,26,1,3,,0,,29,,3
260,5/1/2020 15:00:00,age50to59,,47,1,4,,0,,51,,4
261,5/6/2020 15:00:00,age50to59,1,48,,4,,0,,52,,4
262,5/7/2020 15:00:00,age10to19,,23,1,2,,0,,25,,2
263,5/11/2020 15:00:00,age10to19,1,24,,2,,0,,26,,2
264,5/13/2020 15:00:00,age30to39,1,41,,5,,0,,46,,5
265,5/14/2020 15:00:00,age10to19,1,25,,2,,0,,27,,2
266,5/14/2020 15:00:00,age50to59,1,49,,4,,0,,53,,4
267,5/15/2020 15:00:00,age10to19,1,26,,2,,0,,28,,2
268,5/18/2020 15:00:00,age10to19,1,27,,2,,0,,29,,2
269,5/19/2020 15:00:00,age10to19,3,30,,2,,0,,32,,2
270,5/20/2020 15:00:00,age40to49,1,40,,4,,0,,44,,4
271,5/20/2020 15:00:00,age50to59,1,50,,4,,0,,54,,4
272,5/21/2020 15:00:00,age10to19,1,31,,2,,0,,33,,2
273,5/21/2020 15:00:00,age50to59,1,51,,4,,0,,55,,4
274,5/23/2020 15:00:00,age10to19,1,32,,2,,0,,34,,2
275,5/25/2020 15:00:00,age20to29,1,27,,3,,0,,30,,3
276,6/2/2020 15:00:00,age30to39,,41,1,6,,0,,47,,6
