OBJECTID,VACCINATION_DATE,AgeRange,DailyFirstDose,CumulativeFirstDose,DailySecondDose,CumulativeSecondDose
307,1/7/2021 15:00:00,age50to59,3189,26964,305,589
308,1/7/2021 15:00:00,age80plus,460,5612,2,4
309,1/8/2021 15:00:00,age50to59,3288,30252,525,1114
310,1/8/2021 15:00:00,age80plus,527,6139,1,5
311,1/8/2021 15:00:00,age10to19,140,707,1,4
312,1/8/2021 15:00:00,age20to29,2066,18540,315,805
313,1/8/2021 15:00:00,age30to39,3027,29016,651,1575
314,1/8/2021 15:00:00,age40to49,2894,27768,621,1348
315,1/8/2021 15:00:00,age60to69,2457,22427,395,772
316,1/8/2021 15:00:00,age70to79,982,7392,41,95
317,1/9/2021 15:00:00,age40to49,811,28579,168,1516
318,1/9/2021 15:00:00,age70to79,318,7710,12,107
319,1/9/2021 15:00:00,age60to69,678,23105,123,895
320,1/9/2021 15:00:00,age10to19,29,736,1,5
321,1/9/2021 15:00:00,age50to59,948,31200,169,1283
322,1/9/2021 15:00:00,age30to39,858,29874,245,1820
323,1/9/2021 15:00:00,age80plus,479,6618,1,6
324,1/9/2021 15:00:00,age20to29,652,19192,144,949
325,1/10/2021 15:00:00,age50to59,542,31742,55,1338
326,1/10/2021 15:00:00,age80plus,249,6867,0,6
327,1/10/2021 15:00:00,age10to19,28,764,0,5
328,1/10/2021 15:00:00,age30to39,435,30309,102,1922
329,1/10/2021 15:00:00,age20to29,291,19483,61,1010
330,1/10/2021 15:00:00,age60to69,371,23476,35,930
331,1/10/2021 15:00:00,age40to49,455,29034,71,1587
332,1/10/2021 15:00:00,age70to79,190,7900,1,108
333,1/11/2021 15:00:00,age70to79,1119,9019,69,177
334,1/11/2021 15:00:00,age40to49,2396,31430,755,2342
335,1/11/2021 15:00:00,age10to19,92,856,5,10
336,1/11/2021 15:00:00,age60to69,2238,25714,395,1325
337,1/11/2021 15:00:00,age50to59,2648,34390,678,2016
338,1/11/2021 15:00:00,age80plus,812,7679,28,34
339,1/11/2021 15:00:00,age30to39,2395,32704,890,2812
340,1/11/2021 15:00:00,age20to29,1551,21034,418,1428
341,1/12/2021 15:00:00,age50to59,3208,37598,1104,3120
342,1/12/2021 15:00:00,age80plus,1563,9242,457,491
343,1/12/2021 15:00:00,age60to69,2491,28205,784,2109
344,1/12/2021 15:00:00,age10to19,107,963,24,34
345,1/12/2021 15:00:00,age40to49,2955,34385,1039,3381
346,1/12/2021 15:00:00,age20to29,1872,22906,570,1998
347,1/12/2021 15:00:00,age30to39,3002,35706,1075,3887
348,1/12/2021 15:00:00,age70to79,1421,10440,242,419
349,1/13/2021 15:00:00,age10to19,143,1106,2,36
350,1/13/2021 15:00:00,age20to29,2309,25215,406,2404
351,1/13/2021 15:00:00,age60to69,2733,30938,562,2671
352,1/13/2021 15:00:00,age80plus,708,9950,177,668
353,1/13/2021 15:00:00,age50to59,3772,41370,757,3877
