VACCINATION_DATE,AgeRange,FirstDailyDose,PercentFirstDailyDose,SecondDailyDose,PercentSecondDailyDose,SingleDailyDose,PercentSingleDailyDose,CombinedAllDoses,PercentCombinedAllDoses,FullyVaccinated,PercentFullyVaccinated,AtLeastOneVaccine,PercentAtLeastOneVaccine
2021-02-22,65 and Older,4501.0,0.469,7736.0,0.806,,,,,,,4501.0,0.469
2021-02-23,12-17,38.0,0.008,37.0,0.008,,,,,,,38.0,0.008
2021-02-23,18-49,4143.0,0.164,3621.0,0.143,,,,,,,4143.0,0.164
2021-02-23,50-64,2911.0,0.237,2219.0,0.181,,,,,,,2911.0,0.237
2021-02-23,65 and Older,8334.0,0.869,9601.0,1.001,,,,,,,8334.0,0.869
2021-02-24,12-17,34.0,0.008,16.0,0.004,,,,,,,34.0,0.008
2021-02-24,18-49,4865.0,0.193,5927.0,0.235,,,,,,,4865.0,0.193
2021-02-24,50-64,3742.0,0.305,3631.0,0.296,,,,,,,3742.0,0.305
2021-02-24,65 and Older,9181.0,0.957,14710.0,1.533,,,,,,,9181.0,0.957
2021-02-25,12-17,34.0,0.008,34.0,0.008,,,,,,,34.0,0.008
2021-02-25,18-49,4914.0,0.195,6294.0,0.249,,,,,,,4914.0,0.195
2021-02-25,50-64,3616.0,0.294,4193.0,0.341,,,,,,,3616.0,0.294
2021-02-25,65 and Older,11615.0,1.211,15592.0,1.625,,,,,,,11615.0,1.211
2021-02-26,12-17,29.0,0.006,14.0,0.003,,,,,,,29.0,0.006
2021-02-26,18-49,6564.0,0.26,7068.0,0.28,,,,,,,6564.0,0.26
2021-02-26,50-64,4559.0,0.371,4568.0,0.372,,,,,,,4559.0,0.371
2021-02-26,65 and Older,15365.0,1.602,13912.0,1.45,,,,,,,15365.0,1.602
2021-02-27,12-17,48.0,0.011,17.0,0.004,,,,,,,48.0,0.011
2021-02-27,18-49,4569.0,0.181,3029.0,0.12,,,,,,,4569.0,0.181
2021-02-27,50-64,3316.0,0.27,1781.0,0.145,,,,,,,3316.0,0.27
2021-02-27,65 and Older,7858.0,0.819,6054.0,0.631,,,,,,,7858.0,0.819
2021-02-28,12-17,34.0,0.008,,,,,,,,,34.0,0.008
2021-02-28,18-49,4263.0,0.169,1123.0,0.045,,,,,,,4263.0,0.169
2021-02-28,50-64,3270.0,0.266,783.0,0.064,,,,,,,3270.0,0.266
2021-02-28,65 and Older,7828.0,0.816,2689.0,0.28,,,,,,,7828.0,0.816
2021-03-01,12-17,44.0,0.01,17.0,0.004,,,,,,,44.0,0.01
2021-03-01,18-49,6756.0,0.268,2362.0,0.094,,,,,,,6756.0,0.268
2021-03-01,50-64,5441.0,0.443,1569.0,0.128,,,,,,,5441.0,0.443
2021-03-01,65 and Older,12123.0,1.264,7536.0,0.785,,,,,,,12123.0,1.264
2021-03-02,12-17,32.0,0.007,7.0,0.002,,,,,,,32.0,0.007
2021-03-02,18-49,6122.0,0.243,2755.0,0.109,2.0,0.0,8879.0,0.352,2757.0,0.109,6124.0,0.243
2021-03-02,50-64,4853.0,0.395,1982.0,0.161,7.0,0.001,6842.0,0.557,1989.0,0.162,4860.0,0.396
2021-03-02,65 and Older,12396.0,1.292,8067.0,0.841,10.0,0.001,20473.0,2.134,8077.0,0.842,12406.0,1.293
2021-03-03,12-17,38.0,0.008,18.0,0.004,1.0,0.0,57.0,0.013,19.0,0.004,39.0,0.009
2021-03-03,18-49,8543.0,0.339,4572.0,0.181,46.0,0.002,13161.0,0.522,4618.0,0.183,8589.0,0.34
2021-03-03,50-64,6382.0,0.52,3119.0,0.254,59.0,0.005,9560.0,0.778,3178.0,0.259,6441.0,0.524
2021-03-03,65 and Older,14479.0,1.509,10182.0,1.061,44.0,0.005,24705.0,2.575,10226.0,1.066,14523.0,1.514
